Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Forestry and logging,SG01RSC04B01AA2,2002Q3,0.0073322,278.273
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2002Q3,0.0086593,381.216
Industry groups,Mining,SG01RSC04B01BB1,2002Q3,0.0109249,646.499
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2002Q3,0.0504515,1657.355
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2002Q3,0.0067754,235.464
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2002Q3,0.0164196,516.630
Industry groups,Printing,SG01RSC04B01CC4,2002Q3,0.0053647,205.884
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2002Q3,0.0285070,966.558
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2002Q3,0.0053591,209.455
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2002Q3,0.0170164,790.048
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2002Q3,0.0210178,942.582
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2002Q3,0.0046066,210.281
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2002Q3,0.0273595,1324.703
Industry groups,Construction,SG01RSC04B01EE1,2002Q3,0.0447755,2054.006
Industry groups,Wholesale trade,SG01RSC04B01FF1,2002Q3,0.0536983,2292.125
Industry groups,Retail trade,SG01RSC04B01GH1,2002Q3,0.0504963,1689.751
Industry groups,Accommodation services,SG01RSC04B01GH2,2002Q3,0.0183230,836.029
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2002Q3,0.0453389,1786.840
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2002Q3,0.0403776,1146.050
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2002Q3,0.0475668,1968.065
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2002Q3,0.0581148,2845.244
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2002Q3,0.0682091,2340.122
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2002Q3,0.0672833,3072.055
Industry groups,Administrative and support services,SG01RSC04B01MN2,2002Q3,0.0188851,901.265
Industry groups,Local Government administration,SG01RSC04B01OO1,2002Q3,0.0036579,164.162
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2002Q3,0.0336159,1274.439
Industry groups,Education and training,SG01RSC04B01PP1,2002Q3,0.0410768,2114.438
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2002Q3,0.0487203,2165.978
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2002Q3,0.0164793,688.835
Industry groups,Other services,SG01RSC04B01RS2,2002Q3,0.0202245,850.073
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2002Q3,0.0708237,2903.577
Industry groups,Agriculture,SG01RSC04B01AA1,2002Q4,0.0425388,1991.511
Industry groups,Forestry and logging,SG01RSC04B01AA2,2002Q4,0.0073322,283.486
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2002Q4,0.0086593,381.246
Industry groups,Mining,SG01RSC04B01BB1,2002Q4,0.0109249,654.672
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2002Q4,0.0504515,1740.582
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2002Q4,0.0067754,231.330
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2002Q4,0.0164196,495.139
Industry groups,Printing,SG01RSC04B01CC4,2002Q4,0.0053647,211.447
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2002Q4,0.0285070,951.308
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2002Q4,0.0053591,213.147
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2002Q4,0.0170164,812.081
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2002Q4,0.0210178,930.382
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2002Q4,0.0046066,197.551
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2002Q4,0.0273595,1352.702
Industry groups,Construction,SG01RSC04B01EE1,2002Q4,0.0447755,2095.295
Industry groups,Wholesale trade,SG01RSC04B01FF1,2002Q4,0.0536983,2155.492
Industry groups,Retail trade,SG01RSC04B01GH1,2002Q4,0.0504963,1695.470
Industry groups,Accommodation services,SG01RSC04B01GH2,2002Q4,0.0183230,842.323
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2002Q4,0.0453389,1814.851
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2002Q4,0.0403776,1157.060
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2002Q4,0.0475668,2005.295
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2002Q4,0.0581148,2868.283
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2002Q4,0.0682091,2366.139
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2002Q4,0.0672833,3102.971
Industry groups,Administrative and support services,SG01RSC04B01MN2,2002Q4,0.0188851,925.724
Industry groups,Local Government administration,SG01RSC04B01OO1,2002Q4,0.0036579,163.949
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2002Q4,0.0336159,1262.253
Industry groups,Education and training,SG01RSC04B01PP1,2002Q4,0.0410768,2154.646
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2002Q4,0.0487203,2174.972
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2002Q4,0.0164793,695.189
Industry groups,Other services,SG01RSC04B01RS2,2002Q4,0.0202245,854.598
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2002Q4,0.0708237,2950.954
Industry groups,Agriculture,SG01RSC04B01AA1,2003Q1,0.0425388,2038.670
Industry groups,Forestry and logging,SG01RSC04B01AA2,2003Q1,0.0073322,271.164
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2003Q1,0.0086593,370.976
Industry groups,Mining,SG01RSC04B01BB1,2003Q1,0.0109249,636.091
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2003Q1,0.0504515,1750.261
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2003Q1,0.0067754,231.341
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2003Q1,0.0164196,494.595
Industry groups,Printing,SG01RSC04B01CC4,2003Q1,0.0053647,208.800
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2003Q1,0.0285070,909.067
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2003Q1,0.0053591,225.815
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2003Q1,0.0170164,850.782
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2003Q1,0.0210178,946.357
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2003Q1,0.0046066,198.581
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2003Q1,0.0273595,1319.041
Industry groups,Construction,SG01RSC04B01EE1,2003Q1,0.0447755,2136.410
Industry groups,Wholesale trade,SG01RSC04B01FF1,2003Q1,0.0536983,2138.004
Industry groups,Retail trade,SG01RSC04B01GH1,2003Q1,0.0504963,1701.280
Industry groups,Accommodation services,SG01RSC04B01GH2,2003Q1,0.0183230,846.374
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2003Q1,0.0453389,1809.037
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2003Q1,0.0403776,1187.552
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2003Q1,0.0475668,2046.423
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2003Q1,0.0581148,2907.986
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2003Q1,0.0682091,2389.593
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2003Q1,0.0672833,3170.017
Industry groups,Administrative and support services,SG01RSC04B01MN2,2003Q1,0.0188851,940.843
Industry groups,Local Government administration,SG01RSC04B01OO1,2003Q1,0.0036579,168.168
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2003Q1,0.0336159,1258.501
Industry groups,Education and training,SG01RSC04B01PP1,2003Q1,0.0410768,2200.548
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2003Q1,0.0487203,2204.958
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2003Q1,0.0164793,713.982
Industry groups,Other services,SG01RSC04B01RS2,2003Q1,0.0202245,859.327
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2003Q1,0.0708237,2984.134
Industry groups,Agriculture,SG01RSC04B01AA1,2003Q2,0.0432591,2134.405
Industry groups,Forestry and logging,SG01RSC04B01AA2,2003Q2,0.0056130,265.489
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2003Q2,0.0084181,384.149
Industry groups,Mining,SG01RSC04B01BB1,2003Q2,0.0091646,577.566
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2003Q2,0.0468385,1699.025
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2003Q2,0.0061270,224.739
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2003Q2,0.0145862,483.023
Industry groups,Printing,SG01RSC04B01CC4,2003Q2,0.0052563,206.963
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2003Q2,0.0257293,897.455
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2003Q2,0.0054231,220.156
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2003Q2,0.0176445,862.454
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2003Q2,0.0210688,956.097
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2003Q2,0.0045044,199.315
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2003Q2,0.0291378,1284.188
Industry groups,Construction,SG01RSC04B01EE1,2003Q2,0.0471000,2118.823
Industry groups,Wholesale trade,SG01RSC04B01FF1,2003Q2,0.0548928,2177.907
Industry groups,Retail trade,SG01RSC04B01GH1,2003Q2,0.0498383,1730.685
Industry groups,Accommodation services,SG01RSC04B01GH2,2003Q2,0.0195983,850.697
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2003Q2,0.0455759,1803.767
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2003Q2,0.0397875,1171.790
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2003Q2,0.0504427,2090.494
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2003Q2,0.0597955,2957.208
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2003Q2,0.0680934,2414.078
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2003Q2,0.0669308,3148.635
Industry groups,Administrative and support services,SG01RSC04B01MN2,2003Q2,0.0189152,929.252
Industry groups,Local Government administration,SG01RSC04B01OO1,2003Q2,0.0035939,172.701
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2003Q2,0.0331538,1269.944
Industry groups,Education and training,SG01RSC04B01PP1,2003Q2,0.0418274,2240.706
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2003Q2,0.0497887,2257.928
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2003Q2,0.0167084,714.958
Industry groups,Other services,SG01RSC04B01RS2,2003Q2,0.0201106,871.292
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2003Q2,0.0710760,3048.912
Industry groups,Agriculture,SG01RSC04B01AA1,2003Q3,0.0432591,2303.884
Industry groups,Forestry and logging,SG01RSC04B01AA2,2003Q3,0.0056130,248.642
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2003Q3,0.0084181,408.552
Industry groups,Mining,SG01RSC04B01BB1,2003Q3,0.0091646,603.349
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2003Q3,0.0468385,1721.777
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2003Q3,0.0061270,218.223
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2003Q3,0.0145862,493.283
Industry groups,Printing,SG01RSC04B01CC4,2003Q3,0.0052563,219.873
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2003Q3,0.0257293,919.743
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2003Q3,0.0054231,228.195
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2003Q3,0.0176445,863.627
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2003Q3,0.0210688,943.835
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2003Q3,0.0045044,211.174
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2003Q3,0.0291378,1354.580
Industry groups,Construction,SG01RSC04B01EE1,2003Q3,0.0471000,2245.103
Industry groups,Wholesale trade,SG01RSC04B01FF1,2003Q3,0.0548928,2266.720
Industry groups,Retail trade,SG01RSC04B01GH1,2003Q3,0.0498383,1772.747
Industry groups,Accommodation services,SG01RSC04B01GH2,2003Q3,0.0195983,853.663
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2003Q3,0.0455759,1804.838
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2003Q3,0.0397875,1224.765
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2003Q3,0.0504427,2136.317
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2003Q3,0.0597955,3007.856
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2003Q3,0.0680934,2438.845
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2003Q3,0.0669308,3151.195
Industry groups,Administrative and support services,SG01RSC04B01MN2,2003Q3,0.0189152,932.560
Industry groups,Local Government administration,SG01RSC04B01OO1,2003Q3,0.0035939,172.632
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2003Q3,0.0331538,1305.545
Industry groups,Education and training,SG01RSC04B01PP1,2003Q3,0.0418274,2269.250
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2003Q3,0.0497887,2298.360
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2003Q3,0.0167084,709.932
Industry groups,Other services,SG01RSC04B01RS2,2003Q3,0.0201106,883.529
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2003Q3,0.0710760,3100.537
Industry groups,Agriculture,SG01RSC04B01AA1,2003Q4,0.0432591,2355.678
Industry groups,Forestry and logging,SG01RSC04B01AA2,2003Q4,0.0056130,239.685
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2003Q4,0.0084181,406.896
Industry groups,Mining,SG01RSC04B01BB1,2003Q4,0.0091646,529.642
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2003Q4,0.0468385,1772.787
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2003Q4,0.0061270,217.368
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2003Q4,0.0145862,500.884
Industry groups,Printing,SG01RSC04B01CC4,2003Q4,0.0052563,215.494
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2003Q4,0.0257293,921.862
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2003Q4,0.0054231,238.095
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2003Q4,0.0176445,867.102
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2003Q4,0.0210688,958.900
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2003Q4,0.0045044,208.906
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2003Q4,0.0291378,1385.563
Industry groups,Construction,SG01RSC04B01EE1,2003Q4,0.0471000,2249.049
Industry groups,Wholesale trade,SG01RSC04B01FF1,2003Q4,0.0548928,2342.270
Industry groups,Retail trade,SG01RSC04B01GH1,2003Q4,0.0498383,1824.191
Industry groups,Accommodation services,SG01RSC04B01GH2,2003Q4,0.0195983,848.047
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2003Q4,0.0455759,1871.839
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2003Q4,0.0397875,1214.509
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2003Q4,0.0504427,2176.384
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2003Q4,0.0597955,3033.938
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2003Q4,0.0680934,2467.959
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2003Q4,0.0669308,3150.211
Industry groups,Administrative and support services,SG01RSC04B01MN2,2003Q4,0.0189152,945.424
Industry groups,Local Government administration,SG01RSC04B01OO1,2003Q4,0.0035939,179.587
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2003Q4,0.0331538,1345.876
Industry groups,Education and training,SG01RSC04B01PP1,2003Q4,0.0418274,2286.185
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2003Q4,0.0497887,2305.757
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2003Q4,0.0167084,741.742
Industry groups,Other services,SG01RSC04B01RS2,2003Q4,0.0201106,909.755
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2003Q4,0.0710760,3152.580
Industry groups,Agriculture,SG01RSC04B01AA1,2004Q1,0.0432591,2349.538
Industry groups,Forestry and logging,SG01RSC04B01AA2,2004Q1,0.0056130,257.215
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2004Q1,0.0084181,407.801
Industry groups,Mining,SG01RSC04B01BB1,2004Q1,0.0091646,580.122
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2004Q1,0.0468385,1801.225
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2004Q1,0.0061270,199.166
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2004Q1,0.0145862,533.303
Industry groups,Printing,SG01RSC04B01CC4,2004Q1,0.0052563,219.311
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2004Q1,0.0257293,956.894
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2004Q1,0.0054231,238.670
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2004Q1,0.0176445,897.505
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2004Q1,0.0210688,1025.989
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2004Q1,0.0045044,211.585
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2004Q1,0.0291378,1417.026
Industry groups,Construction,SG01RSC04B01EE1,2004Q1,0.0471000,2299.713
Industry groups,Wholesale trade,SG01RSC04B01FF1,2004Q1,0.0548928,2400.636
Industry groups,Retail trade,SG01RSC04B01GH1,2004Q1,0.0498383,1852.486
Industry groups,Accommodation services,SG01RSC04B01GH2,2004Q1,0.0195983,862.489
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2004Q1,0.0455759,1901.350
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2004Q1,0.0397875,1220.221
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2004Q1,0.0504427,2237.475
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2004Q1,0.0597955,3042.202
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2004Q1,0.0680934,2492.457
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2004Q1,0.0669308,3194.393
Industry groups,Administrative and support services,SG01RSC04B01MN2,2004Q1,0.0189152,957.891
Industry groups,Local Government administration,SG01RSC04B01OO1,2004Q1,0.0035939,178.444
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2004Q1,0.0331538,1364.045
Industry groups,Education and training,SG01RSC04B01PP1,2004Q1,0.0418274,2291.515
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2004Q1,0.0497887,2368.318
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2004Q1,0.0167084,741.519
Industry groups,Other services,SG01RSC04B01RS2,2004Q1,0.0201106,935.171
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2004Q1,0.0710760,3222.247
Industry groups,Agriculture,SG01RSC04B01AA1,2004Q2,0.0402328,2302.187
Industry groups,Forestry and logging,SG01RSC04B01AA2,2004Q2,0.0051984,240.819
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2004Q2,0.0082272,419.540
Industry groups,Mining,SG01RSC04B01BB1,2004Q2,0.0099164,598.488
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2004Q2,0.0467265,1881.703
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2004Q2,0.0057315,207.960
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2004Q2,0.0146008,521.537
Industry groups,Printing,SG01RSC04B01CC4,2004Q2,0.0053311,227.177
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2004Q2,0.0256069,957.431
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2004Q2,0.0057319,248.307
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2004Q2,0.0167912,864.227
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2004Q2,0.0207140,978.555
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2004Q2,0.0043300,207.545
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2004Q2,0.0282182,1376.195
Industry groups,Construction,SG01RSC04B01EE1,2004Q2,0.0518223,2461.721
Industry groups,Wholesale trade,SG01RSC04B01FF1,2004Q2,0.0533618,2437.684
Industry groups,Retail trade,SG01RSC04B01GH1,2004Q2,0.0478461,1867.119
Industry groups,Accommodation services,SG01RSC04B01GH2,2004Q2,0.0203694,876.566
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2004Q2,0.0462901,1944.934
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2004Q2,0.0380300,1229.368
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2004Q2,0.0504845,2282.613
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2004Q2,0.0608121,3060.462
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2004Q2,0.0682954,2519.656
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2004Q2,0.0673878,3180.462
Industry groups,Administrative and support services,SG01RSC04B01MN2,2004Q2,0.0190481,951.088
Industry groups,Local Government administration,SG01RSC04B01OO1,2004Q2,0.0036119,179.796
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2004Q2,0.0337137,1407.977
Industry groups,Education and training,SG01RSC04B01PP1,2004Q2,0.0424717,2291.163
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2004Q2,0.0512439,2352.013
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2004Q2,0.0159121,723.747
Industry groups,Other services,SG01RSC04B01RS2,2004Q2,0.0200284,933.852
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2004Q2,0.0719137,3257.494
Industry groups,Agriculture,SG01RSC04B01AA1,2004Q3,0.0402328,2175.686
Industry groups,Forestry and logging,SG01RSC04B01AA2,2004Q3,0.0051984,247.822
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2004Q3,0.0082272,398.915
Industry groups,Mining,SG01RSC04B01BB1,2004Q3,0.0099164,540.821
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2004Q3,0.0467265,1768.000
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2004Q3,0.0057315,219.346
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2004Q3,0.0146008,551.632
Industry groups,Printing,SG01RSC04B01CC4,2004Q3,0.0053311,215.787
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2004Q3,0.0256069,963.059
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2004Q3,0.0057319,253.913
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2004Q3,0.0167912,871.209
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2004Q3,0.0207140,1004.714
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2004Q3,0.0043300,208.448
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2004Q3,0.0282182,1374.662
Industry groups,Construction,SG01RSC04B01EE1,2004Q3,0.0518223,2475.875
Industry groups,Wholesale trade,SG01RSC04B01FF1,2004Q3,0.0533618,2482.670
Industry groups,Retail trade,SG01RSC04B01GH1,2004Q3,0.0478461,1931.142
Industry groups,Accommodation services,SG01RSC04B01GH2,2004Q3,0.0203694,898.103
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2004Q3,0.0462901,1962.944
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2004Q3,0.0380300,1239.427
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2004Q3,0.0504845,2316.485
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2004Q3,0.0608121,3057.631
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2004Q3,0.0682954,2551.176
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2004Q3,0.0673878,3173.795
Industry groups,Administrative and support services,SG01RSC04B01MN2,2004Q3,0.0190481,954.984
Industry groups,Local Government administration,SG01RSC04B01OO1,2004Q3,0.0036119,183.910
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2004Q3,0.0337137,1390.962
Industry groups,Education and training,SG01RSC04B01PP1,2004Q3,0.0424717,2288.145
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2004Q3,0.0512439,2349.235
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2004Q3,0.0159121,716.711
Industry groups,Other services,SG01RSC04B01RS2,2004Q3,0.0200284,937.715
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2004Q3,0.0719137,3282.046
Industry groups,Agriculture,SG01RSC04B01AA1,2004Q4,0.0402328,2154.783
Industry groups,Forestry and logging,SG01RSC04B01AA2,2004Q4,0.0051984,244.065
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2004Q4,0.0082272,414.124
Industry groups,Mining,SG01RSC04B01BB1,2004Q4,0.0099164,556.811
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2004Q4,0.0467265,1752.034
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2004Q4,0.0057315,225.718
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2004Q4,0.0146008,554.649
